120	127	118	254	125	0	0	127	2	86	
120	127	125	254	124	0	0	127	2	87	
120	127	125	254	125	0	0	128	2	88	
121	126	120	254	124	0	0	127	2	89	
120	126	125	254	125	25	0	127	2	90	
120	127	118	254	124	91	0	127	2	92	
120	127	114	254	125	152	0	127	2	93	
119	127	114	254	124	211	0	127	2	94	
121	127	113	254	125	254	0	127	2	95	
120	127	112	254	124	254	0	127	2	96	
121	127	118	254	125	254	0	127	2	97	
120	126	114	254	124	254	0	127	2	98	
120	127	108	254	125	255	5	127	2	99	
120	127	116	254	125	254	10	127	2	100	
120	127	113	254	124	254	17	127	2	101	
120	127	113	254	125	254	22	127	2	102	
119	127	115	254	125	254	28	128	2	103	
119	127	114	254	124	255	33	127	2	104	
119	127	116	254	125	255	40	127	2	105	
119	127	110	254	125	254	45	127	2	106	
119	127	110	254	125	254	50	126	2	107	
119	127	98	254	124	254	54	127	2	108	
120	127	96	254	125	254	59	127	2	109	
120	127	92	254	125	254	64	127	2	110	
120	127	91	254	124	254	69	127	2	111	
120	126	103	254	125	254	73	127	2	112	
120	127	103	254	124	254	81	127	2	113	
120	127	112	254	125	254	85	127	2	114	
120	127	113	254	124	255	88	127	2	115	
121	127	110	254	125	254	91	127	2	116	
120	127	112	254	125	254	96	127	2	117	
120	127	109	254	125	254	98	127	2	118	
120	128	110	254	124	254	101	127	2	119	
121	127	105	254	125	254	104	127	2	120	
120	127	93	254	125	254	107	127	2	121	
121	128	97	254	125	254	109	127	2	122	
120	127	96	254	125	254	112	127	2	123	
120	128	82	254	125	254	114	127	2	124	
121	127	87	254	126	254	116	126	2	126	
120	127	91	254	125	254	119	127	2	127	
119	127	91	254	126	254	123	126	2	128	
120	128	90	254	125	254	124	127	2	129	
120	128	101	254	125	254	127	127	2	130	
121	127	104	254	125	254	128	127	2	131	
120	127	106	254	125	254	130	127	2	132	
120	127	110	254	125	254	131	127	2	133	
120	127	110	254	124	254	133	127	2	134	
121	128	115	254	124	254	133	127	2	135	
121	127	123	254	125	254	135	127	2	136	
120	128	119	254	125	254	136	127	2	137	
121	127	118	254	124	254	138	127	2	138	
120	128	123	254	124	254	139	127	2	139	
121	127	126	254	126	254	140	127	2	141	
120	127	126	254	124	254	140	127	2	142	
120	127	121	254	125	255	141	127	2	143	
120	127	127	254	124	254	142	127	2	144	
120	128	127	254	125	255	142	127	2	145	
120	127	126	254	124	254	143	127	2	146	
120	126	129	254	125	254	142	127	2	147	
120	127	123	254	124	254	144	127	2	148	
120	127	122	254	124	254	144	127	2	149	
121	127	110	254	124	254	144	127	2	150	
120	128	115	253	124	254	144	127	2	151	
120	127	111	245	124	254	145	127	2	152	
121	128	110	239	124	254	145	127	2	153	
120	127	113	232	125	254	146	127	2	154	
121	127	119	225	125	254	146	127	2	155	
121	127	117	219	125	254	146	127	2	156	
120	127	119	213	124	254	145	127	2	157	
120	127	130	207	125	254	146	127	2	158	
121	127	126	201	125	254	146	127	2	160	
121	127	126	195	125	254	146	127	2	161	
120	127	130	190	124	254	146	127	2	162	
121	127	129	185	125	254	146	127	2	163	
120	127	125	180	124	254	146	127	2	164	
120	127	131	175	124	254	145	127	2	165	
120	127	126	166	125	254	145	127	2	166	
120	127	126	163	125	254	145	127	2	167	
120	127	127	158	124	254	145	127	2	168	
121	128	132	155	125	254	145	127	2	169	
120	127	134	150	125	254	145	127	2	170	
120	127	132	147	124	254	144	127	2	171	
120	127	142	144	125	254	144	127	2	172	
121	128	145	141	124	254	144	127	2	173	
120	127	142	139	125	254	144	127	2	175	
121	127	141	135	125	254	143	126	2	176	
119	127	136	133	124	254	142	126	2	177	
121	127	138	130	125	254	143	127	2	178	
120	127	138	128	123	254	142	126	2	179	
120	127	134	125	125	254	141	126	2	180	
121	127	138	124	124	254	141	126	2	181	
120	127	136	121	125	254	141	127	2	182	
121	127	134	120	124	254	141	126	2	183	
120	127	135	118	124	251	140	126	2	184	
121	127	130	115	124	243	139	126	2	185	
120	127	136	114	125	236	140	127	2	186	
121	127	141	112	124	228	139	127	2	187	
121	127	138	111	125	222	137	127	2	188	
120	127	141	109	124	215	0	126	2	189	
121	127	145	109	125	208	0	126	2	190	
120	127	145	108	124	203	0	127	2	191	
121	127	140	107	125	195	0	127	2	192	
120	127	142	106	125	191	0	127	2	193	
121	127	142	105	124	179	0	126	2	194	
120	127	133	105	124	174	0	126	2	195	
120	127	131	104	124	170	0	127	2	196	
120	127	131	104	124	165	0	126	2	197	
120	127	119	103	125	160	0	127	2	198	
120	127	123	103	124	157	0	126	2	199	
120	127	123	102	125	154	0	126	2	200	
120	127	119	102	124	149	0	126	2	201	
120	127	116	102	125	146	0	126	2	202	
120	128	121	101	125	142	0	126	2	203	
120	127	125	102	124	139	0	126	2	204	
120	128	120	102	124	136	0	127	2	205	
120	127	125	102	124	133	0	126	2	206	
120	127	113	102	124	131	0	126	2	207	
120	127	121	102	125	126	0	126	2	209	
120	128	118	102	124	122	0	126	2	210	
120	127	113	102	124	121	0	127	2	211	
120	127	117	102	124	118	0	126	2	212	
