264	3	0
539	0	1
801	5	0
1079	2	0
1334	0	0
1599	1	1
1864	1	0
2125	2	1
2387	3	1
2665	4	0
2926	4	1
3205	5	1
3464	6	1
3740	0	0
4002	1	0
4261	2	0
4532	3	0
4802	4	0
5058	5	0
5325	4	1
5604	1	1
5867	2	1
6126	6	1
6387	3	1
6662	0	1
6926	5	1
7187	3	0
7449	3	1
7730	4	0
7990	2	0
8252	0	0
8515	1	1
8794	5	0
9055	2	1
9320	5	1
9584	1	0
9842	6	1
10119	4	1
10383	0	1
10642	0	0
10903	5	0
11180	2	0
11447	3	0
11727	1	0
11987	4	0
12264	6	1
12528	1	1
12786	2	1
13053	0	1
13314	5	1
13583	3	1
13843	4	1
