272	3	0
553	5	1
811	1	0
1072	2	0
1342	0	0
1603	1	1
1872	4	0
2133	2	1
2401	4	1
2679	5	0
2927	0	1
3203	6	1
3462	3	1
3741	0	0
4000	4	0
4255	2	0
4517	3	0
4795	5	0
5060	1	0
5315	0	1
5584	1	1
5857	2	1
6120	3	1
6400	4	1
6671	5	1
6930	6	1
7204	3	0
7466	4	1
7725	5	0
7989	2	0
8253	0	0
8528	1	1
8802	1	0
9056	2	1
9318	6	1
9589	4	0
9871	3	1
10126	0	1
10378	5	1
10654	0	0
10916	1	0
11195	2	0
11446	3	0
11711	4	0
11970	5	0
12249	3	1
12514	1	1
12772	2	1
13047	5	1
13307	6	1
13583	4	1
13841	0	1
