249	3	0
518	6	1
788	4	0
1054	2	0
1313	0	0
1579	1	1
1842	5	0
2120	2	1
2378	0	1
2639	1	0
2903	5	1
3179	3	1
3447	4	1
3708	0	0
3979	5	0
4244	2	0
4503	3	0
4765	1	0
5028	4	0
5305	5	1
5570	1	1
5830	2	1
6091	4	1
6369	0	1
6632	6	1
6892	3	1
7158	3	0
7442	0	1
7699	1	0
7969	2	0
8248	0	0
8520	1	1
8789	4	0
9053	2	1
9317	3	1
9574	5	0
9851	4	1
10131	5	1
10389	6	1
10649	0	0
10913	4	0
11176	2	0
11457	3	0
11711	5	0
11970	1	0
12234	4	1
12509	1	1
12774	2	1
13033	6	1
13294	3	1
13565	0	1
13845	5	1
