265	3	0
546	4	1
808	4	0
1065	2	0
1323	0	0
1608	1	1
1868	5	0
2134	2	1
2391	6	1
2665	1	0
2918	3	1
3195	0	1
3451	5	1
3713	0	0
3983	5	0
4245	2	0
4532	3	0
4807	1	0
5068	4	0
5349	3	1
5607	1	1
5867	2	1
6122	5	1
6399	6	1
6653	4	1
6929	0	1
7193	3	0
7453	6	1
7727	1	0
7989	2	0
8270	0	0
8526	1	1
8786	4	0
9044	2	1
9319	0	1
9582	5	0
9844	5	1
10119	3	1
10384	4	1
10642	0	0
10916	4	0
11187	2	0
11467	3	0
11715	5	0
11985	1	0
12267	5	1
12543	1	1
12796	2	1
13071	4	1
13324	0	1
13589	6	1
13870	3	1
